plant t id age layer
1 24 793 8 L3+
1 24 773 12 L2
1 24 880 8 L2
1 24 826 8 L3+
1 24 935 8 L2
1 24 802 8 L2
1 24 894 8 L2
1 24 882 16 L3+
1 24 928 16 L1
1 24 807 12 L1
1 24 733 12 L1
1 24 930 24 L1
1 24 949 8 L2
1 24 948 8 L2
1 24 878 8 L2
1 24 929 20 L1
1 24 951 12 L1
1 24 963 12 L1
1 24 975 16 L2
1 24 921 24 L2
1 24 945 12 L2
1 24 981 20 L1
1 24 1023 8 L2
1 24 1004 8 L2
1 24 999 12 L1
1 24 1017 16 L2
1 24 1020 12 L2
1 24 1018 20 L2
1 24 1042 12 L1
1 24 1007 12 L1
1 24 1029 24 L1
1 24 1009 16 L1
1 24 1019 16 L2
1 24 1039 20 L1
1 24 1027 20 L2
1 24 1036 8 L1
1 24 1033 16 L1
1 24 1063 12 L1
1 24 1035 8 L1
1 24 1025 24 L1
1 24 1034 16 L2
1 24 1073 8 L1
1 24 1031 4 L1
1 24 1045 20 L2
1 24 1081 16 L1
1 24 1086 24 L1
1 24 1077 16 L1
1 24 1091 12 L1
1 24 1100 24 L1
1 24 1105 16 L1
1 24 1108 24 L1
1 24 1121 16 L1
1 24 1107 24 L1
1 24 1129 24 L1
1 24 1140 16 L1
1 24 1151 24 L1
1 24 1156 24 L1
1 24 1158 24 L1
1 24 1163 24 L1
1 28 301 28 L3+
1 28 137 28 L3+
1 28 243 20 L3+
1 28 296 28 L3+
1 28 180 28 L3+
1 28 256 28 L3+
1 28 240 28 L1
1 28 321 4 L3+
1 28 273 28 L3+
1 28 305 12 L3+
1 28 269 12 L2
1 28 324 4 L3+
1 28 346 28 L2
1 28 380 8 L2
1 28 359 16 L2
1 28 278 20 L3+
1 28 356 4 L3+
1 28 340 28 L3+
1 28 221 20 L3+
1 28 446 16 L2
1 28 437 8 L3+
1 28 456 8 L3+
1 28 400 4 L3+
1 28 527 8 L2
1 28 468 12 L3+
1 28 480 12 L2
1 28 350 4 L2
1 28 448 8 L3+
1 28 484 8 L3+
1 28 370 4 L3+
1 28 384 12 L3+
1 28 371 20 L2
1 28 460 8 L3+
1 28 622 12 L2
1 28 504 8 L3+
1 28 498 28 L2
1 28 564 8 L3+
1 28 507 4 L3+
1 28 530 8 L3+
1 28 486 12 L3+
1 28 402 4 L3+
1 28 434 4 L2
1 28 610 4 L3+
1 28 470 4 L3+
1 28 541 12 L2
1 28 491 12 L2
1 28 602 8 L2
1 28 676 28 L1
1 28 590 16 L1
1 28 562 24 L1
1 28 550 8 L3+
1 28 521 12 L3+
1 28 594 12 L2
1 28 603 8 L3+
1 28 607 8 L2
1 28 568 8 L3+
1 28 545 8 L2
1 28 589 16 L1
1 28 519 28 L2
1 28 502 12 L3+
1 28 543 12 L1
1 28 724 28 L1
1 28 669 12 L3+
1 28 648 4 L3+
1 28 679 20 L1
1 28 726 8 L2
1 28 716 4 L2
1 28 739 4 L3+
1 28 704 20 L1
1 28 699 8 L3+
1 28 732 8 L3+
1 28 717 12 L3+
1 28 712 12 L3+
1 28 782 12 L1
1 28 702 16 L2
1 28 773 4 L3+
1 28 760 8 L2
1 28 751 8 L2
1 28 727 8 L1
1 28 649 8 L1
1 28 832 20 L1
1 28 775 20 L1
1 28 814 16 L1
1 28 761 8 L3+
1 28 708 4 L1
1 28 730 8 L2
1 28 858 4 L2
1 28 859 4 L2
1 28 772 4 L3+
1 28 791 8 L2
