plant	t	id	layer	m.vol	n.vol	m.x	m.y	m.z	expr	d2t	circ	age
13	44	820	L1	191.212109176	0.44255772	50.5818359927	44.1588909	33.0050825566	115.22891	2.3257914437443	1	8
13	44	821	L1	214.887633795	0.04250205	42.1648409983	55.5583723759	32.4939014834	7.415047	4.16281865915466	3	16
13	44	822	L1	175.204976271	0.3160832	59.074590505	58.3929077719	32.9983463005	54.32842	2.11592056407896	2	32
13	44	824	L1	115.310266412	0.08345669	55.8779088177	61.4690525439	33.1309415086	14.753993	2.89610479170734	2	32
13	44	825	L1	154.586651527	0.49207467	59.8635615664	53.4303404562	33.4651773982	148.99837	1.16871589513183	1	16
13	44	826	L1	74.2056554572	0.30628297	53.6222426895	42.5786173925	32.6393591424	118.43912	1.86377376841386	1	8
13	44	827	L1	177.45978814	0.3669412	46.6100775875	50.0039596811	33.2033930981	62.949253	2.87270300854573	2	36
13	44	828	L1	203.247929285	0.63536435	46.703585594	57.6251427684	33.1307254694	52.925823	3.17494581524627	2	20
13	44	829	L1	196.676473073	0.52095956	56.2626772606	45.7663952584	33.0835625523	150.84813	0.770443265031601	0	20
13	44	830	L1	157.633694593	0.5005338	57.9234311134	50.1661097607	33.6033640803	147.70218	0.490580137621492	0	16
13	44	831	L1	124.49202285	0.3316604	53.5112447354	55.5538176123	33.5912196253	119.80762	1.89868616249943	1	16
13	44	832	L1	166.246669658	0.44214508	50.9431244228	51.5745293195	33.8895920152	113.89098	1.71931891090427	1	16
13	48	674	L2	125.958438235	0.034220412	71.4978695564	52.4259838029	23.615035008	8.3937645	2.7763704041805	2	4
13	48	691	L2	168.955428759	0.52067375	68.4478475362	54.7962298734	24.630310166	74.9585	2.17606051215937	1	4
13	48	699	L1	140.72726942	0.09054353	76.191495856	41.6414357781	24.4770167215	19.93459	4.44441793637666	3	12
13	48	700	L2	193.028623591	0.5131123	69.0936392846	63.112684043	24.6474816399	69.06381	2.35430697742287	1	20
13	48	703	L2	194.259359523	0.6993373	60.122031318	54.1949884729	25.1953722188	68.638794	2.34290953668335	1	48
13	48	708	L2	144.429323104	0.45863107	57.4264640223	57.921340064	25.249804878	25.920619	3.27102299974081	2	12
13	48	714	L1	176.448149114	0.23993066	82.3720625507	55.7275983311	25.8047507826	42.486588	3.13348163620903	2	20
13	48	723	L1	168.17760365	0.44903385	73.4638601166	44.9442639279	26.529369666	45.701626	3.4695291875683	2	28
13	48	729	L1	215.644627079	0.04779225	73.7536291395	73.4994334019	26.8166545223	8.545634	4.52130016696363	2	12
13	48	731	L1	123.989260744	1.00412192	76.2458869492	48.9054654861	27.0906415453	48.58704775	3.09616102336832	2	28
13	48	735	L1	177.491813184	0.21501665	60.4090812231	44.3087428778	27.5087595364	25.06737	4.08261428020794	2	16
13	48	736	L1	248.323127548	0.57525191	67.1492649946	44.6405101773	27.65880231	27.131917	2.88590533212156	1	48
13	48	740	L1	152.798327442	0.07561451	47.3068533058	55.5998299081	27.8900781267	13.611487	4.83546837180807	3	28
13	48	743	L1	268.261049648	0.9631156	74.6336596425	55.0867042528	28.2183716913	67.934241	1.71859730194476	1	48
13	48	744	L1	210.839834	0.09238542	77.2577851446	61.7765418059	27.8873538768	12.231849	3.08257541609793	1	16
13	48	745	L1	165.647210574	0.20532247	73.4285712533	67.8022032088	28.0529030442	33.31566	2.68902252827366	1	0
